87,Alford,Evans,a.evans@randatmail.com,604-7675-94,TRUE
88,Adison,Stevens,a.stevens@randatmail.com,849-3978-67,TRUE
89,Dainton,Clark,d.clark@randatmail.com,277-0362-95,FALSE
90,Aida,Alexander,a.alexander@randatmail.com,966-2681-54,FALSE
91,Emma,Carter,e.carter@randatmail.com,100-5575-94,TRUE
92,Haris,Armstrong,h.armstrong@randatmail.com,188-0245-46,FALSE
93,Miranda,Henderson,m.henderson@randatmail.com,950-0566-82,TRUE
94,Abraham,Morrison,a.morrison@randatmail.com,493-2083-90,TRUE
95,Freddie,Howard,f.howard@randatmail.com,930-1003-11,FALSE
96,Heather,Craig,h.craig@randatmail.com,426-9339-75,FALSE
97,Olivia,Gray,o.gray@randatmail.com,457-5386-51,TRUE
98,Roman,Casey,r.casey@randatmail.com,400-3883-91,FALSE
99,Preston,Roberts,p.roberts@randatmail.com,076-6657-95,TRUE
100,Caroline,Harper,c.harper@randatmail.com,029-6318-22,TRUE
